Sinusoidal, 0.1Hz, 2V;;Saturación;;Sinusoidal, 0.3Hz, 2V;;Saturación;;Sierra, 0.1Hz, 2V;;Saturación;;Sierra, 0.3Hz, 2V;;Saturación;
I_A1 / A;&F / Vs;I_A1 / A;&F / Vs;I_A1 / A;&F / Vs;I_A1 / A;&F / Vs;I_A1 / A;&F / Vs;I_A1 / A;&F / Vs;I_A1 / A;&F / Vs;I_A1 / A;&F / Vs
-0.243;0.07;;;-0.085;0.28;;;-0.5;-0.31;;;-0.345;-0.07;;
-0.254;0.05;;;-0.117;0.25;;;-0.501;-0.32;;;-0.354;-0.09;;
-0.265;0.03;;;-0.146;0.22;;;-0.499;-0.33;;;-0.356;-0.11;;
-0.278;0;;;-0.175;0.18;;;-0.495;-0.34;;;-0.356;-0.13;;
-0.289;-0.02;;;-0.203;0.15;;;-0.49;-0.35;;;-0.351;-0.14;;
-0.304;-0.04;;;-0.233;0.11;;;-0.482;-0.35;;;-0.342;-0.15;;
-0.318;-0.06;;;-0.262;0.07;;;-0.474;-0.36;;;-0.328;-0.16;;
-0.331;-0.09;;;-0.293;0.03;;;-0.464;-0.36;;;-0.312;-0.16;;
-0.34;-0.11;;;-0.321;-0.01;;;-0.453;-0.36;;;-0.292;-0.16;;
-0.352;-0.13;;;-0.349;-0.05;;;-0.441;-0.36;;;-0.27;-0.16;;
-0.364;-0.15;;;-0.374;-0.08;;;-0.427;-0.36;;;-0.245;-0.16;;
-0.376;-0.17;;;-0.398;-0.12;;;-0.412;-0.36;;;-0.218;-0.15;;
-0.387;-0.19;;;-0.418;-0.15;;;-0.396;-0.36;;;-0.19;-0.15;;
-0.397;-0.2;;;-0.436;-0.18;;;-0.379;-0.36;;;-0.161;-0.14;;
-0.406;-0.22;;;-0.45;-0.21;;;-0.361;-0.35;;;-0.132;-0.14;;
-0.416;-0.24;;;-0.459;-0.23;;;-0.343;-0.35;;;-0.103;-0.13;;
-0.425;-0.26;;;-0.464;-0.25;;;-0.326;-0.35;;;-0.074;-0.12;;
-0.432;-0.27;;;-0.465;-0.27;;;-0.307;-0.35;;;-0.046;-0.11;;
-0.439;-0.28;;;-0.459;-0.28;;;-0.29;-0.34;;;-0.018;-0.1;;
-0.443;-0.3;;;-0.448;-0.29;;;-0.272;-0.34;;;0.009;-0.09;;
-0.444;-0.31;;;-0.429;-0.29;;;-0.253;-0.33;;;0.035;-0.07;;
-0.444;-0.31;;;-0.406;-0.3;;;-0.235;-0.33;;;0.061;-0.06;;
-0.446;-0.32;;;-0.377;-0.3;;;-0.217;-0.32;;;0.085;-0.04;;
-0.445;-0.33;;;-0.343;-0.29;;;-0.2;-0.32;;;0.106;-0.03;;
-0.445;-0.34;;;-0.302;-0.29;;;-0.181;-0.31;;;0.113;-0.01;;
-0.441;-0.34;;;-0.259;-0.28;;;-0.164;-0.31;;;0.131;0.01;;
-0.438;-0.34;;;-0.213;-0.28;;;-0.145;-0.3;;;0.148;0.03;;
-0.432;-0.35;;;-0.167;-0.26;;;-0.128;-0.29;;;0.164;0.05;;
-0.427;-0.35;;;-0.119;-0.25;;;-0.111;-0.29;;;0.185;0.07;;
-0.417;-0.35;;;-0.072;-0.24;;;-0.092;-0.28;;;0.206;0.1;;
-0.405;-0.35;;;-0.028;-0.22;;;-0.075;-0.27;;;0.229;0.13;;
-0.388;-0.35;;;0.017;-0.2;;;-0.059;-0.26;;;0.253;0.16;;
-0.375;-0.35;;;0.057;-0.18;;;-0.041;-0.25;;;0.282;0.19;;
-0.36;-0.35;;;0.094;-0.15;;;-0.024;-0.25;;;0.299;0.22;;
-0.343;-0.35;;;0.126;-0.12;;;-0.007;-0.24;;;0.308;0.25;;
-0.329;-0.34;;;0.154;-0.09;;;0.009;-0.23;;;0.313;0.27;;
-0.303;-0.34;;;0.182;-0.06;;;0.025;-0.22;;;0.313;0.29;;
-0.28;-0.34;;;0.211;-0.02;;;0.041;-0.2;;;0.307;0.3;;
-0.259;-0.33;;;0.24;0.02;;;0.056;-0.19;;;0.298;0.31;;
-0.241;-0.33;;;0.269;0.06;;;0.071;-0.18;;;0.287;0.32;;
-0.222;-0.32;;;0.297;0.1;;;0.086;-0.17;;;0.271;0.32;;
-0.206;-0.32;;;0.326;0.14;;;0.101;-0.15;;;0.252;0.32;;
-0.189;-0.31;;;0.353;0.17;;;0.114;-0.14;;;0.231;0.32;;
-0.171;-0.31;;;0.379;0.21;;;0.127;-0.12;;;0.206;0.32;;
-0.153;-0.3;;;0.401;0.24;;;0.14;-0.1;;;0.182;0.32;;
-0.136;-0.29;;;0.421;0.28;;;0.152;-0.09;;;0.153;0.31;;
-0.11;-0.29;;;0.438;0.3;;;0.166;-0.07;;;0.127;0.31;;
-0.091;-0.28;;;;;;;0.179;-0.05;;;0.101;0.3;;
-0.076;-0.27;;;;;;;0.192;-0.03;;;0.076;0.29;;
-0.06;-0.26;;;;;;;0.206;0;;;0.059;0.29;;
-0.051;-0.26;;;;;;;0.22;0.02;;;0.048;0.28;;
-0.043;-0.25;;;;;;;0.234;0.04;;;0.019;0.27;;
-0.037;-0.25;;;;;;;0.25;0.07;;;-0.009;0.26;;
-0.033;-0.24;;;;;;;0.266;0.09;;;-0.034;0.25;;
-0.029;-0.24;;;;;;;0.283;0.12;;;-0.059;0.24;;
-0.018;-0.23;;;;;;;0.3;0.14;;;-0.084;0.22;;
0.003;-0.23;;;;;;;0.319;0.17;;;-0.104;0.2;;
0.022;-0.22;;;;;;;0.338;0.19;;;-0.126;0.18;;
0.052;-0.2;;;;;;;0.357;0.22;;;-0.146;0.16;;
