X1,Y1,X2,Y2,,,,,,
-1.93E-03,5.60E-02,-1.93E-03,6.40E-02,,,,,,
-1.93E-03,4.80E-02,-1.93E-03,5.60E-02,,,,,,
-1.93E-03,5.60E-02,-1.93E-03,5.60E-02,,,,,,
-1.93E-03,4.00E-02,-1.93E-03,5.60E-02,,,,,,
-1.93E-03,4.80E-02,-1.93E-03,4.80E-02,,,,,,
-1.92E-03,4.00E-02,-1.92E-03,5.60E-02,,,,,,
-1.92E-03,4.00E-02,-1.92E-03,4.80E-02,,,,,,
-1.92E-03,4.00E-02,-1.92E-03,4.00E-02,,,,,,
-1.92E-03,3.20E-02,-1.92E-03,4.00E-02,,,,,,
-1.92E-03,3.20E-02,-1.92E-03,3.20E-02,,,,,,
-1.91E-03,3.20E-02,-1.91E-03,3.20E-02,,,,,,
-1.91E-03,2.40E-02,-1.91E-03,3.20E-02,,,,,,
-1.91E-03,2.40E-02,-1.91E-03,3.20E-02,,,,,,
-1.91E-03,1.60E-02,-1.91E-03,2.40E-02,,,,,,
-1.91E-03,1.60E-02,-1.91E-03,2.40E-02,,,,,,
-1.90E-03,8.00E-03,-1.90E-03,2.40E-02,,,,,,
-1.90E-03,8.00E-03,-1.90E-03,1.60E-02,,,,,,
-1.90E-03,0,-1.90E-03,8.00E-03,,,,,,
-1.90E-03,8.00E-03,-1.90E-03,1.60E-02,,,,,,
-1.90E-03,8.00E-03,-1.90E-03,1.60E-02,,,,,,
-1.89E-03,0,-1.89E-03,8.00E-03,,,,,,
-1.89E-03,0,-1.89E-03,8.00E-03,,,,,,
-1.89E-03,0,-1.89E-03,8.00E-03,,,,,,
-1.89E-03,0,-1.89E-03,-8.00E-03,,,,,,
-1.89E-03,-8.00E-03,-1.89E-03,0,,,,,,
-1.88E-03,-8.00E-03,-1.88E-03,-1.60E-02,,,,,,
-1.88E-03,-8.00E-03,-1.88E-03,-1.60E-02,,,,,,
-1.88E-03,-8.00E-03,-1.88E-03,-1.60E-02,,,,,,
-1.88E-03,-8.00E-03,-1.88E-03,-1.60E-02,,,,,,
-1.88E-03,-1.60E-02,-1.88E-03,-2.40E-02,,,,,,
