Sinusoidal, 0.1Hz, 2V;;Saturacion;;Sinusoidal, 0.3Hz, 2V;;Saturacion;;Sierra, 0.1Hz, 2V;;Saturacion;;Sierra, 0.3Hz, 2V;;Saturacion;
Corriente;Flujo;Corriente;Flujo;Corriente;Flujo;Corriente;Flujo;Corriente;Flujo;Corriente;Flujo;Corriente;Flujo;Corriente;Flujo
-0.218;-0.49;;;;;;;-0.306;-0.65;;;-0.255;-0.46;;
-0.243;-0.54;;;;;;;-0.331;-0.67;;;-0.265;-0.47;;
-0.273;-0.58;;;;;;;-0.352;-0.69;;;-0.27;-0.48;;
-0.303;-0.61;;;;;;;-0.37;-0.7;;;-0.27;-0.48;;
-0.338;-0.65;;;;;;;-0.385;-0.71;;;-0.256;-0.48;;
-0.372;-0.67;;;;;;;-0.395;-0.72;;;-0.234;-0.47;;
-0.407;-0.7;;;;;;;-0.402;-0.72;;;-0.208;-0.47;;
-0.441;-0.72;;;;;;;-0.404;-0.73;;;-0.184;-0.46;;
-0.472;-0.74;;;;;;;-0.403;-0.73;;;-0.159;-0.44;;
-0.5;-0.75;;;;;;;-0.394;-0.72;;;-0.137;-0.43;;
-0.523;-0.76;;;;;;;-0.382;-0.72;;;-0.114;-0.41;;
-0.542;-0.77;;;;;;;-0.369;-0.72;;;-0.093;-0.4;;
-0.557;-0.78;;;;;;;-0.356;-0.72;;;-0.074;-0.37;;
-0.567;-0.78;;;;;;;-0.343;-0.72;;;-0.056;-0.35;;
-0.575;-0.78;;;;;;;-0.33;-0.71;;;-0.04;-0.32;;
-0.578;-0.78;;;;;;;-0.317;-0.71;;;-0.025;-0.29;;
-0.579;-0.78;;;;;;;-0.304;-0.71;;;-0.011;-0.25;;
-0.575;-0.78;;;;;;;-0.29;-0.7;;;0.002;-0.22;;
-0.569;-0.78;;;;;;;-0.278;-0.7;;;0.013;-0.17;;
-0.56;-0.78;;;;;;;-0.264;-0.7;;;0.024;-0.13;;
-0.551;-0.78;;;;;;;-0.251;-0.69;;;0.034;-0.07;;
-0.54;-0.78;;;;;;;-0.238;-0.69;;;0.044;-0.02;;
-0.529;-0.78;;;;;;;-0.227;-0.68;;;0.055;0.03;;
-0.516;-0.78;;;;;;;-0.214;-0.68;;;0.066;0.08;;
-0.503;-0.78;;;;;;;-0.203;-0.67;;;0.079;0.13;;
-0.489;-0.77;;;;;;;-0.191;-0.66;;;0.093;0.18;;
-0.475;-0.77;;;;;;;-0.179;-0.66;;;0.111;0.23;;
-0.46;-0.77;;;;;;;-0.169;-0.65;;;0.129;0.28;;
-0.445;-0.77;;;;;;;-0.157;-0.64;;;0.148;0.33;;
-0.428;-0.76;;;;;;;-0.146;-0.63;;;0.167;0.38;;
-0.412;-0.76;;;;;;;-0.136;-0.62;;;0.187;0.43;;
-0.395;-0.76;;;;;;;-0.125;-0.61;;;0.206;0.46;;
-0.379;-0.75;;;;;;;-0.114;-0.6;;;0.224;0.49;;
-0.36;-0.75;;;;;;;-0.104;-0.59;;;0.237;0.51;;
-0.343;-0.74;;;;;;;-0.095;-0.58;;;0.248;0.52;;
